,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS,datetime,Hourly_Entries,Hourly_Exits
122191,PTH22,R540,00-04-00,PATH NEW WTC,1,PTH,03/31/2018,00:47:41,REGULAR,34974,103216,2018-03-31 00:47:41,31504.0,99975.0
122551,PTH22,R540,00-05-02,PATH NEW WTC,1,PTH,03/31/2018,01:20:12,REGULAR,55259,126433,2018-03-31 01:20:12,42513.0,97024.0
108636,N700A,R570,01-00-03,72 ST-2 AVE,Q,IND,03/31/2018,01:00:00,REGULAR,359017,324377,2018-03-31 01:00:00,40661.0,94916.0
80341,N325A,R218,00-03-02,ELMHURST AV,MR,IND,03/31/2018,00:00:00,REGULAR,308393,394348,2018-03-31 00:00:00,32707.0,82944.0
120284,PTH20,R549,03-00-07,NEWARK HM HE,1,PTH,03/31/2018,02:05:04,REGULAR,32594,180742,2018-03-31 02:05:04,16740.0,82553.0
13526,B010,R412,00-00-00,BOTANIC GARDEN,S2345,BMT,03/31/2018,01:00:00,REGULAR,64241,80262,2018-03-31 01:00:00,63882.0,79199.0
112767,PTH04,R551,00-04-01,GROVE STREET,1,PTH,03/31/2018,03:04:28,REGULAR,112936,96295,2018-03-31 03:04:28,96748.0,77492.0
9580,A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,03/31/2018,01:00:00,REGULAR,22066,73930,2018-03-31 01:00:00,22066.0,73867.0
116512,PTH12,R542,00-04-03,TWENTY THIRD ST,1,PTH,03/31/2018,02:27:45,REGULAR,3178,148483,2018-03-31 02:27:45,2808.0,73745.0
35213,JFK02,R535,01-00-04,HOWARD BCH JFK,A,IND,03/31/2018,01:00:00,REGULAR,93869,223337,2018-03-31 01:00:00,25860.0,72412.0
35429,JFK03,R536,00-00-03,JFK JAMAICA CT1,E,IND,03/31/2018,01:00:00,REGULAR,382334,305478,2018-03-31 01:00:00,81282.0,68396.0
196612,S102,R165,00-05-00,TOMPKINSVILLE,1,SRT,03/31/2018,02:00:00,REGULAR,262313,65536,2018-03-31 02:00:00,32698.0,65533.0
184464,R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,03/31/2018,00:00:00,REGULAR,32326,348432,2018-03-31 00:00:00,4969.0,63017.0
188367,R612,R057,01-00-06,ATL AV-BARCLAY,BDNQR2345,IRT,03/31/2018,00:00:00,REGULAR,1081251,842765,2018-03-31 00:00:00,11891.0,58583.0
8572,A049,R088,02-03-02,CORTLANDT ST,RNW,BMT,03/31/2018,01:00:00,REGULAR,633290,212565,2018-03-31 01:00:00,48115.0,56174.0
117808,PTH16,R550,01-02-04,LACKAWANNA,1,PTH,03/31/2018,01:14:54,REGULAR,10657,85081,2018-03-31 01:14:54,6504.0,54440.0
9454,A052,R088,01-03-01,CORTLANDT ST,RNW,BMT,03/31/2018,01:00:00,REGULAR,32362,119920,2018-03-31 01:00:00,9677.0,52848.0
35129,JFK02,R535,01-00-02,HOWARD BCH JFK,A,IND,03/31/2018,01:00:00,REGULAR,148309,299540,2018-03-31 01:00:00,54953.0,49247.0
114430,PTH06,R546,00-00-0A,PAVONIA/NEWPORT,1,PTH,03/31/2018,00:58:28,REGULAR,221060,203071,2018-03-31 00:58:28,18358.0,46173.0
120087,PTH20,R549,03-00-02,NEWARK HM HE,1,PTH,03/31/2018,01:53:56,REGULAR,28381,259450,2018-03-31 01:53:56,18352.0,46116.0
120364,PTH20,R549,03-01-01,NEWARK HM HE,1,PTH,03/31/2018,00:10:01,REGULAR,97810,660057,2018-03-31 00:10:01,38255.0,46006.0
110570,PTH01,R549,00-01-01,NEWARK HW BMEBE,1,PTH,03/31/2018,02:52:05,REGULAR,3666,134223,2018-03-31 02:52:05,1902.0,43472.0
114471,PTH07,R550,00-00-00,CITY / BUS,1,PTH,03/31/2018,00:59:19,REGULAR,303273,245062,2018-03-31 00:59:19,76254.0,41409.0
96188,N511,R163,03-00-00,14 ST,FLM123,IND,03/31/2018,00:00:00,REGULAR,154178,54298,2018-03-31 00:00:00,19585.0,40374.0
9412,A052,R088,01-03-00,CORTLANDT ST,RNW,BMT,03/31/2018,01:00:00,REGULAR,20359,61358,2018-03-31 01:00:00,6587.0,40055.0
141949,R194,R040,00-06-00,231 ST,1,IRT,03/31/2018,00:00:00,REGULAR,16392,40436,2018-03-31 00:00:00,16392.0,40023.0
115727,PTH10,R547,00-00-04,9TH STREET,1,PTH,04/02/2018,16:05:33,REGULAR,4875,40518,2018-04-02 16:05:33,4875.0,39746.0
22756,C020,R233,00-03-02,53 ST,R,BMT,03/31/2018,00:00:00,REGULAR,146981,169154,2018-03-31 00:00:00,32172.0,39117.0
35741,JFK03,R536,00-03-04,JFK JAMAICA CT1,E,IND,03/31/2018,01:00:00,REGULAR,20184,43824,2018-03-31 01:00:00,12130.0,37556.0
115231,PTH07,R550,00-02-01,CITY / BUS,1,PTH,03/31/2018,01:29:47,REGULAR,5772,34476,2018-03-31 01:29:47,5772.0,34476.0
35609,JFK03,R536,00-03-01,JFK JAMAICA CT1,E,IND,03/31/2018,01:00:00,REGULAR,74333,90106,2018-03-31 01:00:00,16333.0,31496.0
115992,PTH11,R545,00-04-01,14TH STREET,1,PTH,03/31/2018,00:56:50,REGULAR,5068,102621,2018-03-31 00:56:50,3854.0,29398.0
115271,PTH07,R550,00-02-02,CITY / BUS,1,PTH,03/31/2018,01:29:57,REGULAR,14856,62439,2018-03-31 01:29:57,8918.0,27564.0
