,station,linename,weekday,hr4
2170,GRD CNTRL-42 ST,4567S,Friday,746650.0
623,34 ST-HERALD SQ,BDFMNQRW,Friday,644051.0
707,42 ST-PORT AUTH,ACENQRS1237W,Friday,449362.0
651,34 ST-PENN STA,ACE,Friday,383874.0
196,14 ST-UNION SQ,LNQR456W,Friday,368911.0
3108,TIMES SQ-42 ST,1237ACENQRSW,Friday,334692.0
2100,FULTON ST,2345ACJZ,Friday,313994.0
735,47-50 STS ROCK,BDFM,Friday,289137.0
868,59 ST COLUMBUS,ABCD1,Friday,283182.0
2009,FLUSHING-MAIN,7,Friday,275330.0
2800,PATH NEW WTC,1,Friday,261313.0
644,34 ST-PENN STA,123ACE,Friday,257758.0
2359,JKSN HT-ROOSVLT,EFMR7,Friday,250781.0
1638,CANAL ST,JNQRZ6W,Friday,248054.0
3192,W 4 ST-WASH SQ,ABCDEFM,Friday,216269.0
1085,86 ST,456,Friday,213383.0
2464,LEXINGTON AV/53,EM6,Friday,212840.0
840,59 ST,456NQRW,Friday,207089.0
693,42 ST-BRYANT PK,BDFM7,Friday,206189.0
2331,JAY ST-METROTEC,ACF,Friday,190557.0
959,72 ST,123,Friday,190525.0
2317,JAMAICA CENTER,EJZ,Friday,181643.0
833,57 ST-7 AV,NQRW,Friday,177952.0
1141,96 ST,123,Friday,176644.0
189,14 ST-UNION SQ,456LNQRW,Friday,165406.0
1491,BOROUGH HALL,2345R,Friday,162021.0
2171,GRD CNTRL-42 ST,4567S,Monday,744244.0
624,34 ST-HERALD SQ,BDFMNQRW,Monday,591497.0
708,42 ST-PORT AUTH,ACENQRS1237W,Monday,450633.0
652,34 ST-PENN STA,ACE,Monday,408560.0
197,14 ST-UNION SQ,LNQR456W,Monday,325413.0
2101,FULTON ST,2345ACJZ,Monday,306375.0
3109,TIMES SQ-42 ST,1237ACENQRSW,Monday,295764.0
2010,FLUSHING-MAIN,7,Monday,281130.0
2801,PATH NEW WTC,1,Monday,279795.0
736,47-50 STS ROCK,BDFM,Monday,272539.0
869,59 ST COLUMBUS,ABCD1,Monday,269381.0
645,34 ST-PENN STA,123ACE,Monday,263109.0
2360,JKSN HT-ROOSVLT,EFMR7,Monday,242661.0
1639,CANAL ST,JNQRZ6W,Monday,225036.0
