,station_line,weekday,weekday2,hr4
2170,GRD CNTRL-42 ST 4567S,0,Monday,148848.8
623,34 ST-HERALD SQ BDFMNQRW,0,Monday,118299.4
707,42 ST-PORT AUTH ACENQRS1237W,0,Monday,90126.6
651,34 ST-PENN STA ACE,0,Monday,81712.0
196,14 ST-UNION SQ LNQR456W,0,Monday,65082.6
2100,FULTON ST 2345ACJZ,0,Monday,61275.0
3108,TIMES SQ-42 ST 1237ACENQRSW,0,Monday,59152.8
2009,FLUSHING-MAIN 7,0,Monday,56226.0
2800,PATH NEW WTC 1,0,Monday,55959.0
735,47-50 STS ROCK BDFM,0,Monday,54507.8
854,59 ST COLUMBUS ABCD1,0,Monday,53876.2
644,34 ST-PENN STA 123ACE,0,Monday,52621.8
2359,JKSN HT-ROOSVLT EFMR7,0,Monday,48532.2
1638,CANAL ST JNQRZ6W,0,Monday,45007.2
1085,86 ST 456,0,Monday,39876.0
2464,LEXINGTON AV/53 EM6,0,Monday,39812.0
2171,GRD CNTRL-42 ST 4567S,1,Tuesday,163098.8
624,34 ST-HERALD SQ BDFMNQRW,1,Tuesday,127673.6
708,42 ST-PORT AUTH ACENQRS1237W,1,Tuesday,91492.4
652,34 ST-PENN STA ACE,1,Tuesday,83775.0
197,14 ST-UNION SQ LNQR456W,1,Tuesday,71041.2
2101,FULTON ST 2345ACJZ,1,Tuesday,65658.4
3109,TIMES SQ-42 ST 1237ACENQRSW,1,Tuesday,65172.8
736,47-50 STS ROCK BDFM,1,Tuesday,61367.2
2801,PATH NEW WTC 1,1,Tuesday,59869.4
855,59 ST COLUMBUS ABCD1,1,Tuesday,59637.0
2010,FLUSHING-MAIN 7,1,Tuesday,56785.0
645,34 ST-PENN STA 123ACE,1,Tuesday,54736.0
2360,JKSN HT-ROOSVLT EFMR7,1,Tuesday,49261.0
1639,CANAL ST JNQRZ6W,1,Tuesday,46305.8
2465,LEXINGTON AV/53 EM6,1,Tuesday,44822.8
1086,86 ST 456,1,Tuesday,43612.6
694,42 ST-BRYANT PK BDFM7,1,Tuesday,43032.4
841,59 ST 456NQRW,1,Tuesday,42837.4
2332,JAY ST-METROTEC ACF,1,Tuesday,42204.8
3193,W 4 ST-WASH SQ ABCDEFM,1,Tuesday,40705.0
2172,GRD CNTRL-42 ST 4567S,2,Wednesday,140151.6
625,34 ST-HERALD SQ BDFMNQRW,2,Wednesday,110980.0
709,42 ST-PORT AUTH ACENQRS1237W,2,Wednesday,77960.8
653,34 ST-PENN STA ACE,2,Wednesday,71239.2
198,14 ST-UNION SQ LNQR456W,2,Wednesday,64736.0
3110,TIMES SQ-42 ST 1237ACENQRSW,2,Wednesday,60679.6
2102,FULTON ST 2345ACJZ,2,Wednesday,57543.0
737,47-50 STS ROCK BDFM,2,Wednesday,56498.4
856,59 ST COLUMBUS ABCD1,2,Wednesday,53377.0
2011,FLUSHING-MAIN 7,2,Wednesday,48977.2
2802,PATH NEW WTC 1,2,Wednesday,47789.2
646,34 ST-PENN STA 123ACE,2,Wednesday,45522.0
2361,JKSN HT-ROOSVLT EFMR7,2,Wednesday,43117.2
1640,CANAL ST JNQRZ6W,2,Wednesday,40619.4
2466,LEXINGTON AV/53 EM6,2,Wednesday,39432.4
2173,GRD CNTRL-42 ST 4567S,3,Thursday,156554.2
626,34 ST-HERALD SQ BDFMNQRW,3,Thursday,125830.8
710,42 ST-PORT AUTH ACENQRS1237W,3,Thursday,89392.2
654,34 ST-PENN STA ACE,3,Thursday,80527.0
199,14 ST-UNION SQ LNQR456W,3,Thursday,71244.8
3111,TIMES SQ-42 ST 1237ACENQRSW,3,Thursday,66190.4
2103,FULTON ST 2345ACJZ,3,Thursday,64545.8
738,47-50 STS ROCK BDFM,3,Thursday,60226.0
857,59 ST COLUMBUS ABCD1,3,Thursday,59360.0
2012,FLUSHING-MAIN 7,3,Thursday,56120.6
2803,PATH NEW WTC 1,3,Thursday,54506.4
647,34 ST-PENN STA 123ACE,3,Thursday,53488.4
2362,JKSN HT-ROOSVLT EFMR7,3,Thursday,49342.8
1641,CANAL ST JNQRZ6W,3,Thursday,46609.0
2467,LEXINGTON AV/53 EM6,3,Thursday,43899.2
1088,86 ST 456,3,Thursday,42695.8
696,42 ST-BRYANT PK BDFM7,3,Thursday,42291.8
843,59 ST 456NQRW,3,Thursday,42146.8
2334,JAY ST-METROTEC ACF,3,Thursday,41489.0
3195,W 4 ST-WASH SQ ABCDEFM,3,Thursday,41016.8
2174,GRD CNTRL-42 ST 4567S,4,Friday,149330.0
627,34 ST-HERALD SQ BDFMNQRW,4,Friday,128810.2
711,42 ST-PORT AUTH ACENQRS1237W,4,Friday,89872.4
655,34 ST-PENN STA ACE,4,Friday,76774.8
200,14 ST-UNION SQ LNQR456W,4,Friday,73782.2
3112,TIMES SQ-42 ST 1237ACENQRSW,4,Friday,66938.4
2104,FULTON ST 2345ACJZ,4,Friday,62798.8
739,47-50 STS ROCK BDFM,4,Friday,57827.4
858,59 ST COLUMBUS ABCD1,4,Friday,56636.4
2013,FLUSHING-MAIN 7,4,Friday,55066.0
2804,PATH NEW WTC 1,4,Friday,52262.6
648,34 ST-PENN STA 123ACE,4,Friday,51551.6
2363,JKSN HT-ROOSVLT EFMR7,4,Friday,50156.2
1642,CANAL ST JNQRZ6W,4,Friday,49610.8
3196,W 4 ST-WASH SQ ABCDEFM,4,Friday,43253.8
1089,86 ST 456,4,Friday,42676.6
2468,LEXINGTON AV/53 EM6,4,Friday,42568.0
844,59 ST 456NQRW,4,Friday,41417.8
697,42 ST-BRYANT PK BDFM7,4,Friday,41237.8
628,34 ST-HERALD SQ BDFMNQRW,5,Saturday,75083.0
2175,GRD CNTRL-42 ST 4567S,5,Saturday,62235.6
712,42 ST-PORT AUTH ACENQRS1237W,5,Saturday,56150.6
201,14 ST-UNION SQ LNQR456W,5,Saturday,50375.6
656,34 ST-PENN STA ACE,5,Saturday,47327.8
3113,TIMES SQ-42 ST 1237ACENQRSW,5,Saturday,42042.4
629,34 ST-HERALD SQ BDFMNQRW,6,Sunday,56777.8
713,42 ST-PORT AUTH ACENQRS1237W,6,Sunday,47264.2
2176,GRD CNTRL-42 ST 4567S,6,Sunday,44819.0
202,14 ST-UNION SQ LNQR456W,6,Sunday,40235.0
