OBJECTID,NAME,the_geom,LINE
1,Astor Pl,POINT (-73.99106999861966 40.73005400028978),4-6-6 Express
2,Canal St,POINT (-74.00019299927328 40.71880300107709),4-6-6 Express
3,50th St,POINT (-73.98384899986625 40.76172799961419),1-2
4,Bergen St,POINT (-73.97499915116808 40.68086213682956),2-3-4
5,Pennsylvania Ave,POINT (-73.89488591154061 40.66471445143568),3-4
6,238th St,POINT (-73.90087000018522 40.88466700064975),1
7,Cathedral Pkwy (110th St),POINT (-73.95806670661364 40.800581558114956),A-B-C
8,Kingston - Throop Aves,POINT (-73.94085899871263 40.67991899941601),A-C
9,65th St,POINT (-73.8987883783301 40.74971952935675),E-M-R
10,36th St,POINT (-73.92901818461539 40.75196004401078),E-M-R
11,Delancey St - Essex St,POINT (-73.98740940202974 40.71830605618619),J-M-Z
12,Van Siclen Ave,POINT (-73.89165772702445 40.67802821447783),J-Z
13,Norwood Ave,POINT (-73.87962599910783 40.68152000045683),J-Z
14,104th-102nd Sts,POINT (-73.84443500029684 40.69516599823373),J-Z
15,DeKalb Ave,POINT (-73.98177094440949 40.690648119969794),B-D-N-Q-R
16,Beach 105th St,POINT (-73.82758075034528 40.58326843810286),A-S
17,Beach 90th St,POINT (-73.81365140419632 40.58809156457325),A-S
18,Freeman St,POINT (-73.89175225349464 40.829987446384116),2-5
19,Intervale Ave,POINT (-73.89661738461646 40.822142131170786),2-5
20,182nd-183rd Sts,POINT (-73.90074099998965 40.85609299881864),B-D
21,174th-175th Sts,POINT (-73.91013600050078 40.84589999983414),B-D
22,167th St,POINT (-73.91843200082253 40.83376899862797),B-D
23,Mets - Willets Point,POINT (-73.8456249984179 40.75462199881262),7-7 Express
24,Junction Blvd,POINT (-73.86952700103515 40.74914499948836),7-7 Express
25,Flushing - Main St,POINT (-73.83003000262508 40.75959999915012),7-7 Express
26,Buhre Ave,POINT (-73.83256900003744 40.846809998885504),6-6 Express
27,3rd Ave - 138th St,POINT (-73.92613800014134 40.81047600117261),6-6 Express
28,Castle Hill Ave,POINT (-73.85122199961472 40.83425499825462),6-6 Express
29,Brooklyn Bridge - City Hall,POINT (-74.0041310005885 40.713064999433136),4-5-6-6 Express
30,Zerega Ave,POINT (-73.8470359987544 40.836488000608156),6-6 Express
31,Grand Central - 42nd St,POINT (-73.9767132992584 40.75180742981634),4-5-6-6 Express
32,33rd St,POINT (-73.98207600148947 40.74608099909145),4-6-6 Express
33,96th St,POINT (-73.9510700015425 40.78567199998607),4-6-6 Express
34,77th St,POINT (-73.95987399886047 40.77362000074615),4-6-6 Express
35,Chauncey St,POINT (-73.91038357033376 40.68285130087804),J-Z
