JKSN HT-ROOSVLT,POINT (-73.89129866519697 40.74653969115889),100
FULTON ST,POINT (-74.00793800110387 40.71002266658424),100
47-50 STS ROCK,POINT (-73.98133100227702 40.75864100159815),100
Bowling Green,POINT (-74.01400799803432 40.70491399928076),100
PATH NEW WTC,POINT (-74.00974461517701 40.71256392680817),100
5th Ave - 53rd St,POINT (-73.9752485052734 40.76008683231326),100
Borough Hall,POINT (-73.99015100090539 40.692403999991036),100
3rd Ave - 149th St,POINT (-73.91779152760981 40.816029252510006),100
GRD CNTRL-42 ST,POINT (-73.9767132992584 40.75180742981634),100
34 ST-PENN STA,POINT (-73.99105699913983 40.75037300003949),100
